ID,Medicine,Website,Source,Link,Review title or reviewer name,Review,Stars,People found the review helpful,Date,Reviewer characteristics,Helps overall with kidney stones,Helps overall with gallstones,Says that has suffered from condition for a long time (>1 year),Someone who makes large amounts of stones (>10 total),Asserts significant reduction in pain on net,Provides detailed background,Works as a prophylactic,Mentions breaking of stones,Mentions shrinking of the stones,Mentions softening of stones,Mentions stone gravel/dust/dissolved,"Stone came out soon after taking it (3 day window or ""a few days later"")",Deferences,Medical personel was surprised or skeptical,Significant (>50%) pain relief within 24 hours,Significant (>50%) pain relief within a week,Consumption method,Dose,Stone characteristics,Provides contact info,Admits it sounds non-credible/identifies as a skeptic,Stone passed with no or almost no pain,Provides objective measurements,Comments,Promotes specific brand,Speaks for someone else,Side effects mentioned,Super high quality,Incredible accounts,Unexpected Positives,Length Filtered,Length (words),Classification method
18,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Effective?,"My wife has had terrible experiences with kidney stones, so after reading the comments, I bought a bottle. Her urinologist just smiled when she told him and he told her it was a waste of money. We never opened the bottle.",2,,2021-05-25,The bottle was never even opened!,0,,,,,,,,,,,,"quite the opposite; urologist expressed no confidence in such a product, thus influencing the man and his suffering wife to leave the bottle unopened.",1,,,,,,,1,,,"The husband wrote the review on behalf of his wife who was suffering, and they both believed the urologist when he told them the product is a waste of money without trying any of it.",,1,,,,,0,41,Manual
19,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,stone brakers,very good,5,,2021-02-14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,2,Manual
20,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,"The ""Stone-Breaker"" herb.","This supplement is a possible way to avoid the agony of kidney stones. With that in mind, it is cheap at any price.",4,,2020-06-17,,1,,,,,,1,1,,,,,,,,,,,,,1,,,"Says that the pain of this condition is so bad, that any price is worth it to treat the pain (hyperbole).",,,,,,,0,23,Manual
21,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Easy to swallow and they really work,They are great for kidney stones.,5,,2020-05-22,,1,,,,,,,,,,,,,,,,orally,,,,,,,Easy to swallow.,,,,,,Easy to swallow.,0,6,Manual
22,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,"Personally, it's been a sanity saver","I have had kidney stones practically my entire adult life, producing one every 4 to 6 months. 3 years ago my pattern changed tho. It switched from my left kidney to my right and after it switched sides, I only produced a single stone the first time then the pain of passing a stone was occurring every few weeks. After a while I would produce bloody urine frequently and I finally got a CT scan to confirm what I feared. a 2cm stone was in my right kidney. The nephrologist said ""your kidney is functioning in normal levels"" so they didn't suggest doing anything about it and I'm seriously dumbfounded, because of the amount of pain I was in. Pain makes us think differently, My next step was to figure out a way to make a DIY lithotripsy machine. Luckily I found the stonebreaker chanca piedra. Within a month I was back to feeling normal and I decided to take a bottle's worth of 1 pill a day as maintenance. I ran out and felt fine so I didn't get a new bottle. 1 year later, I bought another bottle as I passed a small stone. This stuff truly is amazing. It works at least for the uric acid based stones which is what I produced. TL;DR It works and I am kicking myself for not continuing my maintenance of a pill a day for a year.",5,2,2020-05-20,1 pill a day for maintenance until empty bottle. Suffered from uric acid-based stones in particular.,1,,1,1,1,1,1,1,1,,,0,"Better than the nephrologist who said, ""your kindey is functioning in normal levels"" and thus suggested nothing, despite the pain the sufferer was in.",1,0,0,pills,1x500mg pill a day using up the whole bottle.,2cm [!?],,,,a CT scan confirmed the presence of a stone,"Had kidney stones entire adult life at a rate of 1 stone every 4-6 months. In 2017, switched from left to right kidney. After that, 1 stone but recurring pain over a period of weeks. Then bloody urine, then back to normal within a month of taking product. After finishing, he didn't buy another bottle until a year later when 1 stone appeared again",Alerna Kidney Health,,,1,,"The pain was so severe, mental health and life quality were affected, so the pain relieving effects of the product ""saved [his] sanity"".",0,237,Manual
23,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,This works!,"I started using this for my dog due to her constant problem with blood in her urine. She's too old (14) for invasive medical procedures. It cleared up the blood from her urine. She's about 90 pounds, and gets just one pill every other morning now. A few months ago my husband was diagnosed with a kidney stone at the emergency room. I immediately gave him a dose of this. With the Flomax from from the doc and this his stone passed painlessly.",5,,2020-05-06,used in conjunction with Flomax from the Doctor.,1,,0,0,,1,0,,,,,,"For the dog, who is 14 and old, this product is better than invasive treatment (for blood in urine).",,,,taken in conjunction with Flomax from Doctor.,1 dose ??,passed painlessly,,,1,Diagnosed in ER.,was used for the dog first prior to the husband and his kidney stone.,,1,,,,was useful for the dog who had blood in urine as well as husband's kidney stone.,0,83,Manual
24,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Definitely Works!,"My husband has been taking the recommended dosage of this product for over two years. Before that he had many bouts of painful kidney stones. After one of these episodes ruined our Hawaii vacation (it was so painful, and we spent more than our vacation costs on our portion of the emergency room visit), we began to look for more help than his urologist would provide. We found the ingredient in these pills from a different source in the beginning, but soon settled on these. They have been so effective and easy for him to take. He has not had a single bout of kidney stones since taking this product. Needless to say, they are on our Subscribe and Save list!",5,1,2020-03-24,,1,,1,1,1,1,1,,,,,,Product was more effective than the useless urologist.,1,,,pills,recommended dosage over a 2 year period.,,,,,Confirmed at emergency room visit.,Not a single kidney stone since taking this product.,Alerna Kidney Health after using a different brand prior.,1,,1,,Less ruined vacations and less emergency room expenses.,0,121,Manual
25,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,May have helped with kidney stones,"I have struggled with kidney stones most of my life, using this combined with lemon juice, vinegar, and baking soda helped get rid of pain and after a few weeks the pain went away...I can’t say for sure that it works but I think it is worth buying in case it works (anyone who has struggled with kidney stones will probably understand that mentality)",5,,2020-02-14,suffered this condition for most of his life; pain subsided after a few weeks of use,1,,1,,1,,,,,,,,,,0,0,"taken combined with lemon juice, vinegar and baking soda",,,,1,,,"after a few weeks, the pain went away",,,,,,,0,64,Manual
26,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,That it works for me,I use it for my kidney stones works great,5,,2019-11-08,works for him,1,,,,,,,,,,,,,,,,,,,,,,,works great,,,,,,,0,9,Manual
27,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,I think it works - no stones recently!,I switched to this brand to save money. I take 1-2 a day and have had no stone or sand pain since starting. I am a firm believer that Chanca Piedra does dissolve stones - no recurrences in over a year now. I am more careful about excess calcium in my diet but not to the extreme - I love my cheese! So far - excellent!,5,,2019-09-24,1-2 pills a day,1,,,,1,,1,,,,1,,Switched to this brand to save money.,,,,"pills alongside mild dietary restrictions limiting calcium intake, but not to the extreme.",1-2 pills a day,,1,,1,,no recurrences in over a year,Alerna Kidney Health,,,,,He can still enjoy eating cheese.,0,66,Manual
