ID,Medicine,Website,Source,Link,Review,Overall Rating,Effectiveness,Ease of use,Satisfaction,People upvoted,People downvoted,Date,Reviewer characteristics,Helps overall with kidney stones,Helps overall with gallstones,Says that has suffered from condition for a long time (>1 year),Someone who makes large amounts of stones (>10 total),Asserts significant reduction in pain on net,Provides detailed background,Works as a prophylactic,Mentions breaking of stones,Mentions shrinking of the stones,Mentions softening of stones,Mentions stone gravel/dust/dissolved,"Stone came out soon after taking it (3 day window or ""a few days later"")",Deferences,Medical Personel Was Surprised or Skeptical,Significant (>50%) pain relief within 24 hours,Significant (>50%) pain relief within a week,Consumption Method,Dose,Stone characteristics,Provides contact info,Admits it sounds non-credible/identifies as a skeptic,Stone passed with no or almost no pain,Provides objective measurements,Comments,Promotes specific brand,Speaks for someone else,Side effects mentioned,Super high quality,Incredible accounts,Unexpected Positives,Length Filtered,Length (words),Classification method
97,Allopurinol Oral,WebMD,WebMD 2024,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,I've been user of this medication for 30 year and I find it helps with my overall health.,5.0,5,5,5,1,0,2021-10-17,75 or over | Male | On medication for 2 to less than 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Manual
98,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,I have been taking for 3 months and have not had any kidney Stone flareups since taking this. After suffering with Kidney stones I can say that I will try anything. This seems to have helped.,5.0,5,5,5,2,0,2015-01-06,35-44 | Female | On medication for 1 to 6 months,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,36,Manual
99,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,Gout and Kidney stone free when taking 300 mg per day. Miss two days and I will have an acute attack of Gout and Kidney stones within a 2-3 day period and may take a week to get back to an equilibrium.,5.0,5,5,5,3,0,2014-06-26,65-74 | Male | On medication for 2 to less than 5 years,1,,,,1,,1,,,,,,,,,,,300mg,,,,,,causal effect established by the return of symptoms when discontinuing chanca piedra,,,,,,,,42,Manual
100,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,"After 9 months of taking 300 mg once a day, I finally decided to see if ""rash and hives"" was a side-effect. It is a side effect along with 5 or 6 other things that have been bothering me. Now I need to know how long it will take to get it out of me. Any suggestions?",2.0,2,3,1,5,0,2013-09-21,55-64 | Female | On medication for 5 to less than 10 years,,,,,,,,,,,,,,,,,,300mg,,,,,,,,,"rash, hives, and ""5 or 6 other"" bothering things",,,,,57,Manual
101,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,short of breath,1.7,2,1,2,2,0,2013-03-07,55-64 | Male | On medication for 1 to 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,short of breath,,,,,3,Manual
102,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,Can the use of this drug cause pancreatic cancer,1.0,1,1,1,1,0,2012-07-18,75 or over | Male | On medication for 10 years or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Manual
110,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,have not had kidney stones,4.3,4,5,4,0,0,2012-06-10,75 or over | Male | On medication for 5 to less than 10 years,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,Manual
103,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,"I can't be certain if this is the culprit, but I get terrible cramps in places I've never before had cramps. i.e. sides, rib cage, and just last night, in my upper thigh. The cramps go away shortly, but they are severe when they occur. I will stop taking the med to determine if the cramps subside. The only other meds I'm on is lisinopril, and prilosec.",5.0,5,5,5,1,0,2011-10-23,45-54 | Male | On medication for 6 months to less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,"terrible cramps, but cannot rule out prilosec ",,,,,67,Manual
104,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,I will be 70 in Jan 2011 and have been taking 300mg tablets of allopurinol daily for about 12 years without a problem. I have annual check ups with blood taken to assure there are no problems with my liver. I eat anything I want and enjoy my scotch and beer without any side effects. My lack of taste may be attributed to the drug but my younger brother by 10 yrs who does not use the drug has smell and therefore taste deficiencies problems as well. I recommend it.,5.0,5,5,5,1,0,2010-12-24,65-74 | Male | On medication for 10 years or more,,,,,,,,,,,,,,,,,,300mg,,,,,Blood tests show liver is fine ,,,,possible yet unlikely loss of taste perception,,,,,90,Manual
105,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,Wondering if this medicine causes depression,1.3,1,2,1,0,0,2009-12-09,45-54 | Male | On medication for 6 months to less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,possible depression,,,,,6,Manual
