source,author_name,age_range,time_on_treatment,condition,review_date,overall_rating,effectiveness,ease_of_use,satisfaction,review_text,helpful_votes,total_votes
Black Seed,Tara,35-44,1 to 6 months,Other,2024-12-19,4.666666666666667,5,4,5,"I've been taking Nutraharmony's Sea Moss supplement with Blackseed oil for a month now, and the results are fantastic. My energy levels have noticeably increased, and my skin looks clearer and more vibrant. The combination of sea moss and blackseed oil seems to provide a comprehensive boost to my overall health. I also appreciate that it's easy to take and doesn't have a strong taste. ",0,0
Black Seed,Elizabeth Docks,25-34,1 to 6 months,Other,2024-09-17,4.666666666666667,5,4,5,"Nutraharmony's Sea Moss supplement with Blackseed oil is now a staple in my daily routine. I love the natural ingredients and the wide range of benefits it offers. My respiratory health has improved, and I breathe easier, especially during allergy season. The anti-inflammatory properties have also helped with my chronic pain. This supplement is a powerhouse of nutrients, and I'm happy with the positive changes I've experienced.",0,0
Black Seed,Fred,25-34,less than 1 month,Other,2024-08-21,1,1,1,1,"Black seed oil gave me a gastrointestinal disease. Became sick with major gastric reflux after taking it. Have been having GERD symptoms since consuming it, and doesn't seem to be getting better. In my opinion black seed oil isn't safe to consume",0,0
Black Seed,JD,35-44,less than 1 month,Other,2024-08-17,1,1,1,1,"Horrible experience with black seed oil.  Had no positive effects on me. I decided to up the dose a little to see if it would make a difference. It made me very ill with diarrhea for one week, and severe stomach burning issues for a month now. Severe indigestion and acid reflux going on 4 weeks after I stopped taking it. Never had these issues before taking black seed oil. It gave me more health problems. Black seed oil is a plant poison seed oil. ",0,0
Black Seed,Emylysse Flores,,1 to 6 months,Obesity,2024-07-26,4.333333333333333,5,4,4,"I've always been skeptical about supplements, but Nutraharmony's Sea Moss with Blackseed oil has made me believe. It has boosted my metabolism, and I've lost a few pounds without changing my diet. My energy and stamina have improved significantly, making my workouts more effective. The quality and purity of the ingredients are evident, and I feel healthier and more energetic overall.",0,0
Black Seed,Justin K,,1 to 6 months,Other,2024-06-20,4.333333333333333,5,4,4,"As someone who's tried various supplements, Nutraharmony's Sea Moss with Blackseed oil stands out. Within just two weeks, I felt a noticeable improvement in my immune system; I didn't catch a cold even when everyone around me was sick. My hair and nails are also growing stronger and faster. This supplement is a great addition to my daily regimen, providing essential nutrients I can really feel.",1,1
Black Seed,Rkels,65-74,1 to 6 months,Other,2024-06-19,4,4,4,4,"Iâve been taking BSO for about two months. Before I have horrible hay fever. I started taking BSO for GP. I noticed that my hay fever was getting better. I could breathe better and that nagging cough has gone. Also, it has made my hair and nails grow like crazy. For years I had five dime sized bald spots in my head, after about two months of using BSO, the bald spots are gone. Iâm just over the moon. It might be doing more health benefits in my body, but changes Iâve mentioned are what I can see. I havenât noticed any adverse side effects in my body as of yet. ",1,1
Black Seed,Christian P,25-34,,Other,2024-05-23,4.333333333333333,5,4,4,"Nutraharmony's Sea Moss supplement with Blackseed oil has been a game-changer for me. I suffer from joint pain, and since starting this supplement, I've experienced a significant reduction in inflammation and discomfort. My digestion has also improved, and I feel more balanced overall. It's a powerful blend that supports multiple aspects of health, and I'm thrilled with the results.",1,1
Black Seed,Lawrence,45-54,1 to 6 months,Other,2024-04-08,4.333333333333333,4,4,5,"I started taking a daily supplement with black seed oil from Nutraharmony as recommended on the bottle. Within a few weeks, I noticed an improvement in my energy levels and digestion, which seemed to be better regulated. My migraines went away too.",1,1
Black Seed,Bionatal ,65-74,1 to 6 months,Other,2024-02-07,2.6666666666666665,3,3,2,The first two bottles of black seed oil I purchased contained black seed with oil... After the first two bottles I noticed the quality diminishing no oil mixed with the black seed The taste was not strong a baby could take it.... ,0,1
Black Seed,lisa,45-54,less than 1 month,Other,2024-01-18,3,3,3,3,been on it about 3 wks but have been getting awful nightmares with it ....now scared to continue with it .,0,0
Black Seed,Jwp,65-74,2 to less than 5 years,Rheumatoid arthritis (RA),2024-01-17,5,5,5,5,I had a very painful sciatic nerve issue that was causing me to be bed ridden. I  took 1 pill of 1000mg and within 3 days all pain from lower back has left.,1,1
Black Seed,,45-54,less than 1 month,Other,2023-11-17,4,4,4,4,"I suffer from several medical issues. Chronic episodic migraines. I was taking several prescriptions as well as injections every 12 weeks. Inflammation in my joints from hold sports injuries.
I have been taking a teaspoon full every morning. Taste is disgusting, but I have so far not experienced any negative side effects. I am also weaning myself off of several prescriptions for migraines.  I have only had 1 major migraine and it was for about 7 hours instead of 2 to 3 days. ",1,1
Black Seed,clm111323,65-74,1 to 6 months,Other,2023-11-13,2,1,4,1,"First, I just wanted to thank ndan3 who reported back on 7/9/19 his/her negative experience with taking black seed oil. Your information allowed me to understand there was someone else having similar issues (severe burning in throat, esophagus and pain in chest area). I had taken BSO in a 1500mg gummy product and have since reported my reaction to the seller. Felt like I was going to die and I did not know what the culprit was. Went to doctor, took 2 prescriptions, had upper GI with no real culprit found. Re-started process of targeting any supplements I was taking and realized the black seed oil might be causing my problem. Then found ndan3's experience here, and confirmed what was likely going on. I also had trouble swallowing/lump in throat (globus), and gastritis symptoms. This started back around mid-September 2023 and am still dealing with effects as of 11.13.23. ",1,1
Black Seed,Horbaach,45-54,6 months to less than 1 year,Other,2023-10-28,5,5,5,5,"It does make me feel high I have depression and I know when something is 
  Different ",1,1
Black Seed,Gwingirl,45-54,less than 1 month,Other,2023-10-14,1,1,1,1,"I took Black Seed Oil/D3/K2 mix that is extremely popular at the moment, thought I would give it a shot, just for overall health benefits. BIG BIG mistake and I should have done more research before I started using this.
I am on lexapro and wellbutrin and it sent me into very bad withdrawal after the fact I read that you are not to take black seed oil if you are on any SSRIâs or any antidepressants. I have been extremely miserable for two days and I donât want anyone to go through this, before taking black seed oil do your research about any medications you are taking it dies interact with quite a few out there. I wanted this to work, my husband also started it and he has been fine. So please be very careful. ",1,1
Black Seed,Emma Smith,45-54,less than 1 month,Other,2022-08-30,1,1,1,1,Took one capsule.slept during day which i never do . Thought it helped my allergy to plane tree pollen. Took two capsules next day. But slept again and still felt tired and felt nauseous and felt like vomiting.headache too .wont be taking anymore.    A friend said it helped with her irregular period from side effect from vaccine . Her period came back to normal.,1,1
Black Seed,Jenn,35-44,1 to 6 months,Other,2022-05-27,4,4,4,4,First off.  Eczema and psorisis should be topical. Not just internal.   ,0,1
