source,author_name,age_range,time_on_treatment,condition,review_date,overall_rating,effectiveness,ease_of_use,satisfaction,review_text,helpful_votes,total_votes
Chanca Piedra,,35-44,less than 1 month,Gallstones,2024-07-14,5,5,5,5,Works for kidney and gallbladder stones. Had gallbladder attack and this helps with the pail right away. I take daily when I am having a crisis. ,0,0
Chanca Piedra,K.Sanders,35-44,,Other,2024-05-03,4,4,4,4,I have had liver health support with Chanca piedra from Nutraharmony for a week now. I am happy to find out Chanca piedra can prevent AND remove kidney stones. Sounds great. ,1,1
Chanca Piedra,SLOsurfer,35-44,less than 1 month,Other,2024-02-04,5,5,5,5,"Incredible. I am a skeptic and a scientist by training, so naturally I don't believe something like this could work, but with so many positive reviews, I had to try it. Two weeks ago I started passing my 3rd stone ever. The first two came out after hours of pain years ago, but this one got stuck in my ureter for almost two weeks. I took chanca piedra (bought through Amazon from Eu Natural Store), 2 capsules, 1200mg, once a day. Within exactly 48 hours, my stone was out. The first day I noticed what looked like fresh blood clot materials (floating) coming out and maybe some bits of sand. The second day I had what looked like old blood clot materials (little black discs slowly sinking) coming out, sometimes bits of sand, and then finally the whole 4mm stone (sank like rock). I am incredibly impressed by this product and am so relieved to have it out. It's certainly worth a try if you're suffering from kidney stones. I'm going to keep taking it for a couple weeks and see if the other stones sitting in my kidneys come out.",1,1
Chanca Piedra,Dee,55-64,1 to 6 months,Gallstones,2023-11-28,5,5,5,5,2 episodes now where taking a combination of Tudca and Chanca Piedra halted the unbearable pain completely within 10 minutes. I took 1100 milligrams of Tudca along with 500 mg of CP. Rescues!,1,1
Chanca Piedra,PattyPoo1234,45-54,less than 1 month,Gallstones,2023-11-18,3,3,3,3,"I just started taking this to see if it will help me with gallstones. I don't know if it will yet. I will come back and report if it does. I was having kidney stone problem. It was caused from hyperparathyroidism. Body making to much calcium. I advise anyone making large amounts of kidney stones or even just one to have pth and calcium levels checked. I had a fluctuating calcium level so I was hard to diagnose. I used my gut feeling and went to Norman Parathyroid Center in Florida and sure enough I had a large tumor on my parathyroid. I had one parathyroid removed. A lot of doctors ignore a high calcium level or recheck and it's normal the next time so they think you don't have a problem when you do. The truth is it can be fluctuating and causing you to have a kidney stone problem. Have your calcium and pth checked a few times not just a couple and see where it is. If you are over 40 and your calcium level is over 10, you are having issues. Your calcium level for your age should be 9-9.5 never over 10. Quit suffering and take the bull by it's horns and take care of the main problem. ",1,1
Chanca Piedra,Mut,65-74,less than 1 month,Other,2023-10-23,5,5,5,5,"Re: Chanca Piedra Liquid Extract by HERB PHARMA, I continually produce Calcium Phospate Kidney Stones. Recent imaging showed an 8mm stone in left kidney and two 3mm Stones in right kidney. After exactly 14 days of taking approximately 800mg 3Ã per day, on morning of October 23rd, I collected a significant amount of sand like grit that when compacted to several millimeters of material. Only kidney imaging can confirm the Stones are gone or reduced in size. But I am very confident that Chanca Piedra is having a major effect on resolving my habitual kidney stone issues. I have had several kidney stone surgeries/stints et.al. I am hopeful that Chanca Piedra will resolve my stones without surgeries.",1,1
Chanca Piedra,Katy,55-64,less than 1 month,Other,2023-08-29,5,5,5,5,Within 3 days of starting Chanca Piedra 500mg three times daily - a fairly low dose and (along with starting a low calcium oxalate diet) my bleeding and pain went away from my kidney stone.   I was thrilled ,1,1
Chanca Piedra,Mitchell ,45-54,1 to less than 2 years,Other,2023-06-07,4.666666666666667,5,4,5,I used a product called StoneBeGone (didn't realize it was chanca piedra+) but that was the best thing I ever used. Took about 4 hours to reduce the pain and in 24 I didn't feel a thing. Pretty sure I passed my stone ( I think I had 2) in less than 2 days. Seriously can't say enough good about that stuff. 25 plus years of kidney issues ($$$$) all managed with a $20 of SBG . ,1,1
Chanca Piedra,Milow,55-64,1 to 6 months,Gallstones,2023-05-12,2,1,4,1,"My wife took all of the kind of Chanca piedra9Pill, liquid and tea) now for 3 months for gallstones, but it did not work at all. I think chanca Piedra is not working at all for gallstone...",1,1
Chanca Piedra,Sosat,35-44,1 to 6 months,Other,2023-02-18,2.6666666666666665,2,4,2,Did not make any difference after 2 months of use,1,1
