name,url,letter,rating,num_reviews
abscess root,https://www.webmd.com/vitamins/ai/ingredientmono-266/abscess-root,a,,
abuta,https://www.webmd.com/vitamins/ai/ingredientmono-267/abuta,a,,
acacia rigidula,https://www.webmd.com/vitamins/ai/ingredientmono-1411/acacia-rigidula,a,2.0,1
acai,https://www.webmd.com/vitamins/ai/ingredientmono-1109/acai,a,3.5,27
acerola,https://www.webmd.com/vitamins/ai/ingredientmono-608/acerola,a,,
acetyl-l-carnitine,https://www.webmd.com/vitamins/ai/ingredientmono-834/acetyl-l-carnitine,a,4.2,80
ackee,https://www.webmd.com/vitamins/ai/ingredientmono-817/ackee,a,,
aconite,https://www.webmd.com/vitamins/ai/ingredientmono-609/aconite,a,2.9,18
activated charcoal,https://www.webmd.com/vitamins/ai/ingredientmono-269/activated-charcoal,a,4.3,69
active hexose correlated compound (ahcc),https://www.webmd.com/vitamins/ai/ingredientmono-1110/active-hexose-correlated-compound-ahcc,a,4.0,14
adenosine,https://www.webmd.com/vitamins/ai/ingredientmono-1067/adenosine,a,3.2,19
adrafinil,https://www.webmd.com/vitamins/ai/ingredientmono-1644/adrafinil,a,4.0,1
adrenal extract,https://www.webmd.com/vitamins/ai/ingredientmono-941/adrenal-extract,a,3.7,24
adrue,https://www.webmd.com/vitamins/ai/ingredientmono-48/adrue,a,3.3,20
aegeline,https://www.webmd.com/vitamins/ai/ingredientmono-1626/aegeline,a,,
african wild potato,https://www.webmd.com/vitamins/ai/ingredientmono-671/african-wild-potato,a,,
agar,https://www.webmd.com/vitamins/ai/ingredientmono-80/agar,a,3.4,11
agaricus mushroom,https://www.webmd.com/vitamins/ai/ingredientmono-1165/agaricus-mushroom,a,4.3,5
agave,https://www.webmd.com/vitamins/ai/ingredientmono-1450/agave,a,,
agmatine,https://www.webmd.com/vitamins/ai/ingredientmono-1562/agmatine,a,4.3,2
agrimony,https://www.webmd.com/vitamins/ai/ingredientmono-604/agrimony,a,,
ajuga nipponensis,https://www.webmd.com/vitamins/ai/ingredientmono-1137/ajuga-nipponensis,a,,
alanine,https://www.webmd.com/vitamins/ai/ingredientmono-1247/alanine,a,2.0,1
albizia julibrissin,https://www.webmd.com/vitamins/ai/ingredientmono-1451/albizia-julibrissin,a,4.3,1
alchemilla,https://www.webmd.com/vitamins/ai/ingredientmono-654/alchemilla,a,5.0,2
alder buckthorn,https://www.webmd.com/vitamins/ai/ingredientmono-850/alder-buckthorn,a,3.5,2
aletris,https://www.webmd.com/vitamins/ai/ingredientmono-605/aletris,a,1.0,2
alfalfa,https://www.webmd.com/vitamins/ai/ingredientmono-19/alfalfa,a,4.4,21
algal oil,https://www.webmd.com/vitamins/ai/ingredientmono-1565/algal-oil,a,3.0,3
algin,https://www.webmd.com/vitamins/ai/ingredientmono-275/algin,a,4.8,2
alkanna,https://www.webmd.com/vitamins/ai/ingredientmono-606/alkanna,a,,
allspice,https://www.webmd.com/vitamins/ai/ingredientmono-81/allspice,a,3.3,16
aloe,https://www.webmd.com/vitamins/ai/ingredientmono-607/aloe,a,4.2,56
