name,url,letter
abscess root,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-266/abscess-root,a
abuta,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-267/abuta,a
acacia rigidula,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1411/acacia-rigidula,a
acai,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1109/acai,a
acerola,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-608/acerola,a
acetyl-l-carnitine,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-834/acetyl-l-carnitine,a
ackee,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-817/ackee,a
aconite,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-609/aconite,a
activated charcoal,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-269/activated-charcoal,a
active hexose correlated compound (ahcc),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1110/active-hexose-correlated-compound-ahcc,a
adenosine,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1067/adenosine,a
adrafinil,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1644/adrafinil,a
adrenal extract,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-941/adrenal-extract,a
adrue,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-48/adrue,a
aegeline,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1626/aegeline,a
african wild potato,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-671/african-wild-potato,a
agar,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-80/agar,a
agaricus mushroom,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1165/agaricus-mushroom,a
agave,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1450/agave,a
agmatine,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1562/agmatine,a
agrimony,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-604/agrimony,a
ajuga nipponensis,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1137/ajuga-nipponensis,a
alanine,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1247/alanine,a
albizia julibrissin,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1451/albizia-julibrissin,a
alchemilla,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-654/alchemilla,a
alder buckthorn,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-850/alder-buckthorn,a
aletris,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-605/aletris,a
alfalfa,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-19/alfalfa,a
algal oil,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1565/algal-oil,a
algin,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-275/algin,a
alkanna,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-606/alkanna,a
allspice,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-81/allspice,a
aloe,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-607/aloe,a
alpha-gpc,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1087/alpha-gpc,a
alpha-ketoglutarate (akg),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-144/alpha-ketoglutarate-akg,a
